# Files
Genome file	Acropora_yongei_SLJPv1.assembly.fasta
GFF file	Acropora_yongei_SLJPv1.genes.gff3

# Genome stats
Total scaffold length (bp)	443890770
Total contig length (bp)	413378588
Number of scaffolds	1382
Number of contigs	18415
N50 of scaffolds (bp)	3019482
N50 of contigs (bp)	45564
Percent gaps	6.874
Percent GC	39.03

# Gene stats (combined CDS+introns)
Number of genes	23501
Total gene length	185177569
Average gene length (bp)	7879.56
Gene percent GC	39.2

# Transcript stats (based on CDS features)
Average transcript length (bp)	1579.27
Average number of CDS per gene/transcript	7.27127

# CDS stats
Number of CDS	170882
Total CDS length (bp)	37114531
Average CDS length (bp)	217.194
Number of single-CDS transcripts	4236
Percent single-CDS transcripts	18.0248
CDS percent GC	44.17

# Intron stats (predicted between CDS features)
Number of introns	147381
Total intron length (bp)	148063038
Average intron length (bp)	1004.63
Intron percent GC	37.89

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	22357
Total intergenic region length (bp)	238088625
Average intergenic region length (bp)	10649.4
Intergenic region percent GC	38.9
