# Files
Genome file	Montastrea_cavernosa_FGUSv2.assembly.fasta
GFF file	Montastrea_cavernosa_FGUSv2.genes.gff3

# Genome stats
Total scaffold length (bp)	448367954
Total contig length (bp)	441873862
Number of scaffolds	5161
Number of contigs	15740
N50 of scaffolds (bp)	342344
N50 of contigs (bp)	44300
Percent gaps	1.448
Percent GC	39.41

# Gene stats (combined CDS+introns)
Number of genes	24740
Total gene length	138978313
Average gene length (bp)	5617.56
Gene percent GC	39.21

# Transcript stats (based on CDS features)
Average transcript length (bp)	1083.69
Average number of CDS per gene/transcript	5.73569

# CDS stats
Number of CDS	141901
Total CDS length (bp)	26810603
Average CDS length (bp)	188.939
Number of single-CDS transcripts	2829
Percent single-CDS transcripts	11.4349
CDS percent GC	45.03

# Intron stats (predicted between CDS features)
Number of introns	117161
Total intron length (bp)	112167710
Average intron length (bp)	957.381
Intron percent GC	37.82

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	21123
Total intergenic region length (bp)	190601441
Average intergenic region length (bp)	9023.41
Intergenic region percent GC	39.16
