# Files
Genome file	Montipora_sp1_aff_capitata_ULFMv1.assembly.fasta
GFF file	Montipora_sp1_aff_capitata_ULFMv1.genes.gff3

# Genome stats
Total scaffold length (bp)	514240284
Total contig length (bp)	514240284
Number of scaffolds	18550
Number of contigs	18550
N50 of scaffolds (bp)	47391
N50 of contigs (bp)	47391
Percent gaps	0.000
Percent GC	39.47

# Gene stats (combined CDS+introns)
Number of genes	43596
Total gene length	323401258
Average gene length (bp)	7418.14
Gene percent GC	39.53

# Transcript stats (based on CDS features)
Average transcript length (bp)	1109.91
Average number of CDS per gene/transcript	5.733

# CDS stats
Number of CDS	249936
Total CDS length (bp)	48387846
Average CDS length (bp)	193.601
Number of single-CDS transcripts	8775
Percent single-CDS transcripts	20.128
CDS percent GC	44.15

# Intron stats (predicted between CDS features)
Number of introns	206340
Total intron length (bp)	275013412
Average intron length (bp)	1332.82
Intron percent GC	38.72

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	23196
Total intergenic region length (bp)	103262273
Average intergenic region length (bp)	4451.73
Intergenic region percent GC	39.48
