# Files
Genome file	Platygyra_sinensis_SDTHv1.assembly.fasta
GFF file	Platygyra_sinensis_SDTHv1.genes.gff3

# Genome stats
Total scaffold length (bp)	1096359891
Total contig length (bp)	1096359891
Number of scaffolds	56369
Number of contigs	56369
N50 of scaffolds (bp)	32425
N50 of contigs (bp)	32425
Percent gaps	0.000
Percent GC	39.22

# Gene stats (combined CDS+introns)
Number of genes	62638
Total gene length	274044926
Average gene length (bp)	4375.06
Gene percent GC	39.64

# Transcript stats (based on CDS features)
Average transcript length (bp)	1171.57
Average number of CDS per gene/transcript	4.56926

# CDS stats
Number of CDS	286209
Total CDS length (bp)	73384690
Average CDS length (bp)	256.402
Number of single-CDS transcripts	17314
Percent single-CDS transcripts	27.6414
CDS percent GC	44.61

# Intron stats (predicted between CDS features)
Number of introns	223571
Total intron length (bp)	200660236
Average intron length (bp)	897.524
Intron percent GC	37.83

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	34360
Total intergenic region length (bp)	206645334
Average intergenic region length (bp)	6014.12
Intergenic region percent GC	39.03
