# Files
Genome file	Amphimedon_queenslandica_HIAUv1.1.assembly.fasta
GFF file	Amphimedon_queenslandica_HIAUv1.1.genes.gff3

# Genome stats
Total scaffold length (bp)	164262607
Total contig length (bp)	143136305
Number of scaffolds	13133
Number of contigs	27270
N50 of scaffolds (bp)	123180
N50 of contigs (bp)	12199
Percent gaps	12.861
Percent GC	35.55

# Gene stats (combined CDS+introns)
Number of genes	20214
Total gene length	63172125
Average gene length (bp)	3125.17
Gene percent GC	36.17

# Transcript stats (based on CDS features)
Average transcript length (bp)	1419.33
Average number of CDS per gene/transcript	7.59132

# CDS stats
Number of CDS	153451
Total CDS length (bp)	28690356
Average CDS length (bp)	186.968
Number of single-CDS transcripts	2019
Percent single-CDS transcripts	9.98813
CDS percent GC	40.75

# Intron stats (predicted between CDS features)
Number of introns	133237
Total intron length (bp)	34481769
Average intron length (bp)	258.8
Intron percent GC	32

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	14776
Total intergenic region length (bp)	41901747
Average intergenic region length (bp)	2835.8
Intergenic region percent GC	34.92
