# Files
Genome file	Acropora_echinata_SLJPv1.assembly.fasta
GFF file	Acropora_echinata_SLJPv1.genes.gff3

# Genome stats
Total scaffold length (bp)	409669900
Total contig length (bp)	347500406
Number of scaffolds	2275
Number of contigs	26221
N50 of scaffolds (bp)	1812701
N50 of contigs (bp)	29005
Percent gaps	15.176
Percent GC	38.94

# Gene stats (combined CDS+introns)
Number of genes	21944
Total gene length	174345748
Average gene length (bp)	7945.03
Gene percent GC	39.2

# Transcript stats (based on CDS features)
Average transcript length (bp)	1587.13
Average number of CDS per gene/transcript	7.25656

# CDS stats
Number of CDS	159238
Total CDS length (bp)	34827872
Average CDS length (bp)	218.716
Number of single-CDS transcripts	4009
Percent single-CDS transcripts	18.2692
CDS percent GC	44.21

# Intron stats (predicted between CDS features)
Number of introns	137294
Total intron length (bp)	139517876
Average intron length (bp)	1016.2
Intron percent GC	37.82

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	20452
Total intergenic region length (bp)	201973160
Average intergenic region length (bp)	9875.47
Intergenic region percent GC	38.69
