Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	# Decoy Protein: Combined	Coverage [%]	# Peptides	# PSMs	# Protein Unique Peptides	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Abundances (Grouped): Empty	Abundances (Grouped): T1A	Abundances (Grouped): T1H	Abundances (Grouped): T3A	Abundances (Grouped): T3H	Abundances (Grouped): T5A	Abundances (Grouped): T5H	Abundances (Grouped): Wild	Abundances (Grouped) CV [%]: Empty	Abundances (Grouped) CV [%]: T1A	Abundances (Grouped) CV [%]: T1H	Abundances (Grouped) CV [%]: T3A	Abundances (Grouped) CV [%]: T3H	Abundances (Grouped) CV [%]: T5A	Abundances (Grouped) CV [%]: T5H	Abundances (Grouped) CV [%]: Wild	"Abundances (Normalized): F1: 127C, Sample, Empty"	"Abundances (Normalized): F1: 128C, Sample, Empty"	"Abundances (Normalized): F1: 128N, Sample, T1A"	"Abundances (Normalized): F1: 129N, Sample, T1A"	"Abundances (Normalized): F1: 129C, Sample, T1H"	"Abundances (Normalized): F1: 130N, Sample, T1H"	"Abundances (Normalized): F1: 130C, Sample, T3A"	"Abundances (Normalized): F1: 131N, Sample, T3A"	"Abundances (Normalized): F1: 131C, Sample, T3H"	"Abundances (Normalized): F1: 132N, Sample, T3H"	"Abundances (Normalized): F1: 132C, Sample, T5A"	"Abundances (Normalized): F1: 133N, Sample, T5A"	"Abundances (Normalized): F1: 133C, Sample, T5H"	"Abundances (Normalized): F1: 134N, Sample, T5H"	"Abundances (Normalized): F1: 126, Sample, Wild"	"Abundances (Normalized): F1: 127N, Sample, Wild"	"Abundances Count: F1: 127C, Sample, Empty"	"Abundances Count: F1: 128C, Sample, Empty"	"Abundances Count: F1: 128N, Sample, T1A"	"Abundances Count: F1: 129N, Sample, T1A"	"Abundances Count: F1: 129C, Sample, T1H"	"Abundances Count: F1: 130N, Sample, T1H"	"Abundances Count: F1: 130C, Sample, T3A"	"Abundances Count: F1: 131N, Sample, T3A"	"Abundances Count: F1: 131C, Sample, T3H"	"Abundances Count: F1: 132N, Sample, T3H"	"Abundances Count: F1: 132C, Sample, T5A"	"Abundances Count: F1: 133N, Sample, T5A"	"Abundances Count: F1: 133C, Sample, T5H"	"Abundances Count: F1: 134N, Sample, T5H"	"Abundances Count: F1: 126, Sample, Wild"	"Abundances Count: F1: 127N, Sample, Wild"	"Found in Sample: [S3] F1: 127C, Sample, Empty"	"Found in Sample: [S5] F1: 128C, Sample, Empty"	"Found in Sample: [S4] F1: 128N, Sample, T1A"	"Found in Sample: [S6] F1: 129N, Sample, T1A"	"Found in Sample: [S7] F1: 129C, Sample, T1H"	"Found in Sample: [S8] F1: 130N, Sample, T1H"	"Found in Sample: [S9] F1: 130C, Sample, T3A"	"Found in Sample: [S10] F1: 131N, Sample, T3A"	"Found in Sample: [S11] F1: 131C, Sample, T3H"	"Found in Sample: [S12] F1: 132N, Sample, T3H"	"Found in Sample: [S13] F1: 132C, Sample, T5A"	"Found in Sample: [S14] F1: 133N, Sample, T5A"	"Found in Sample: [S15] F1: 133C, Sample, T5H"	"Found in Sample: [S16] F1: 134N, Sample, T5H"	"Found in Sample: [S1] F1: 126, Sample, Wild"	"Found in Sample: [S2] F1: 127N, Sample, Wild"	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g18522.t1	Montipora_capitata_KBHIv3___RNAseq.g18522.t1	0	47.599	0	15	12	21	12	12	912	100.7	7.53	29.94	12	0	1425.6	1240.9	1587.7	1464.4	1589	1122.4	1335.1	1255		1.99	4.83	0.6	4.12	11.38	8.6	0.93		1425.6	1223.5	1258.5	1642.8	1534.4	1470.6	1458.1	1543.3	1636.1	1216.7	1035.4	1256.2	1419	1263.3	1246.7		2	9	9	9	9	9	9	9	9	9	9	9	9	9	9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g44181.t1	Montipora_capitata_KBHIv3___RNAseq.g44181.t1	0	8.658	0	14	3	4	3	3	285	32.5	5.66	4.7	3	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.20838_t	Montipora_capitata_KBHIv3___RNAseq.20838_t	0	8.883	0	12	3	4	3	3	277	31.8	5.52	2.45	3	0	54.9	282.4	274.7	373.5	253.2	260.1	217.4	311.5		1.89	7.61	7.16	11.96	3.91	1.7	22.22		54.9	286.2	278.6	289.9	260.3	392.9	355.1	275.6	232.6	253	267.4	220.1	214.8	365	265.8		1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g41951.t2	Montipora_capitata_KBHIv3___TS.g41951.t2	0	9.233	0	9	3	3	3	3	454	52.9	5.48	4.88	3	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g29120.t1a	Montipora_capitata_KBHIv3___RNAseq.g29120.t1a	0	4.653	1	3	2	2	2	2	573	64.6	4.49	0	2	0		29	33.3	27.3	34.2	32.4	26.9	31.7		22.7	17.97	9.15	0.02	16.03	26.66	10.32			24.7	34.1	29.3	37.8	29.1	25.6	34.2	34.2	28.9	36.3	32.6	22.2	34.1	29.5			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g49411.t1	Montipora_capitata_KBHIv3___RNAseq.g49411.t1	0	35.704	0	21	9	15	7	7	528	59.4	6.1	7	9	2	362	276.2	284.7	286.4	245.9	270.5	241.6	280.4		0.31	4.39	2.98	14.18	19.63	21.78	9.95		362	276.8	275.6	293.7	276	280.5	292.5	271.9	222.4	311.1	235.2	206.9	282.2	261.3	300.9		2	6	6	6	6	6	6	6	6	6	6	6	6	6	6	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g34173.t1	Montipora_capitata_KBHIv3___RNAseq.g34173.t1	0.001	3.41	7	4	1	1	1	1	302	34.5	6.62	2.67	1	0		30	29.9	30.3	27.7	23.2	34.7	28.7		7.7	6.75	6.65	6.8	41.63	28.04	16.65			31.7	28.5	28.5	31.3	31.7	28.9	26.4	29	17.1	31.4	42.4	28.4	32.3	25.5			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g39722.t1	Montipora_capitata_KBHIv3___RNAseq.g39722.t1	0	4.778	1	8	1	1	1	1	210	23.2	8.51	2.62	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37258.t1	Montipora_capitata_KBHIv3___RNAseq.g37258.t1	0	3.894	1	5	2	2	2	2	378	42.4	7.3	1.9	2	0		110.4	108.2	107.3	75.5	121.9	75.1	119.6		1.45	4.86	2.73	8.21	36.62	1.32	21.24			109.2	111.5	104.6	112	109.4	105.2	80	71.2	158.8	93.5	74.4	75.8	139.1	102.8			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g40858.t1	Montipora_capitata_KBHIv3___RNAseq.g40858.t1	0	12.402	0	3	3	3	3	3	1547	170.1	6.28	4.15	3	0		23.2	19.8	22.7	18.4	19.8	22.7	32.7		8.64	34.4	8.81	3.45	58.66	49.9	28.83			21.8	24.7	25.4	15.5	21.3	24.1	18	18.9	30.8	12.7	15.7	32.8	26.6	40.2			1	1	1	1	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g5059.t1	Montipora_capitata_KBHIv3___TS.g5059.t1	0.004	2.342	24	2	1	1	1	1	512	58.6	7.91	1.61	1	0																																																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
