Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundances (Normalized): F1: 127C, Sample, Empty"	"Abundances (Normalized): F1: 128C, Sample, Empty"	"Abundances (Normalized): F1: 128N, Sample, T1A"	"Abundances (Normalized): F1: 129N, Sample, T1A"	"Abundances (Normalized): F1: 129C, Sample, T1H"	"Abundances (Normalized): F1: 130N, Sample, T1H"	"Abundances (Normalized): F1: 130C, Sample, T3A"	"Abundances (Normalized): F1: 131N, Sample, T3A"	"Abundances (Normalized): F1: 131C, Sample, T3H"	"Abundances (Normalized): F1: 132N, Sample, T3H"	"Abundances (Normalized): F1: 132C, Sample, T5A"	"Abundances (Normalized): F1: 133N, Sample, T5A"	"Abundances (Normalized): F1: 133C, Sample, T5H"	"Abundances (Normalized): F1: 134N, Sample, T5H"	"Abundances (Normalized): F1: 126, Sample, Wild"	"Abundances (Normalized): F1: 127N, Sample, Wild"	"Found in Sample: [S3] F1: 127C, Sample, Empty"	"Found in Sample: [S5] F1: 128C, Sample, Empty"	"Found in Sample: [S4] F1: 128N, Sample, T1A"	"Found in Sample: [S6] F1: 129N, Sample, T1A"	"Found in Sample: [S7] F1: 129C, Sample, T1H"	"Found in Sample: [S8] F1: 130N, Sample, T1H"	"Found in Sample: [S9] F1: 130C, Sample, T3A"	"Found in Sample: [S10] F1: 131N, Sample, T3A"	"Found in Sample: [S11] F1: 131C, Sample, T3H"	"Found in Sample: [S12] F1: 132N, Sample, T3H"	"Found in Sample: [S13] F1: 132C, Sample, T5A"	"Found in Sample: [S14] F1: 133N, Sample, T5A"	"Found in Sample: [S15] F1: 133C, Sample, T5H"	"Found in Sample: [S16] F1: 134N, Sample, T5H"	"Found in Sample: [S1] F1: 126, Sample, Wild"	"Found in Sample: [S2] F1: 127N, Sample, Wild"	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g18522.t1	Montipora_capitata_KBHIv3___RNAseq.g18522.t1	0	FALSE	71.617	19	15	26	15	912	100.7	7.53	31.98	15	0		1452.9	1232.3	1266.8	1639.2	1534.1	1494.4	1474.1	1520.9	1617.5	1224.9	1035.7	1257.1	1498.9	1254.3	1266.2	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g5068.t1b	Montipora_capitata_KBHIv3___RNAseq.g5068.t1b	0	FALSE	5.105	13	2	3	2	170	19	10.08	0	2	0		435.1	139.7	148.1	111.8	146.4	111.4	111.2	128.8	122	152.2	173.4	158.6	109.8	89.5	138.5	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g50280.t1	Montipora_capitata_KBHIv3___RNAseq.g50280.t1	0	FALSE	49.044	27	9	14	9	398	41.8	6.73	10.96	9	0	20.4	329.1	499.2	425.5	495.1	477	365.8	491.3	483	342.9	326.7	426.7	383.9	341.4	394.8	392.6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g31845.t1	Montipora_capitata_KBHIv3___RNAseq.g31845.t1	0.025	FALSE	1.254	18	1	1	1	177	20.1	6.2	2.4	1	0																	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g12282.t1	Montipora_capitata_KBHIv3___RNAseq.g12282.t1	0	FALSE	7.309	9	2	2	1	192	21.5	8.82	2.52	2	1			62	71.1	72.5	56.3	95.4	69.7	126.7	133.9	58.3	64.7	314.5	2263.6	89.6	84.8	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g9671.t1	Montipora_capitata_KBHIv3___TS.g9671.t1	0.001	FALSE	4.255	7	1	1	1	241	26.3	6.67	2.68	1	0																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g8804.t1	Montipora_capitata_KBHIv3___RNAseq.g8804.t1	0	FALSE	33.763	16	9	11	9	568	61.3	7.37	9.78	9	0		273	245.4	172.3	248.1	205.9	192.6	251.1	215	168.9	212.5	141	177.1	131.7	216.4	185.1	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g39899.t1	Montipora_capitata_KBHIv3___RNAseq.g39899.t1	0	FALSE	27.01	20	6	13	6	352	39.4	8.72	10.31	6	0	1763.6	636.9	655.2	791.9	632.8	514.4	715.1	692.3	588.3	598.9	661.6	599.7	486.7	1106.2	887.3	839.7	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g29574.t1	Montipora_capitata_KBHIv3___RNAseq.g29574.t1	0	FALSE	6.39	2	2	2	2	966	109.9	6.35	1.6	2	0			23.6	22.6	24.9	20.4	24.4	22	28.6	25.5	16.2	20.8	17	23.8	22.2	24.1	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41105.t1	Montipora_capitata_KBHIv3___RNAseq.g41105.t1	0.001	FALSE	4.04	8	2	2	1	377	43.1	9.1	0	2	0																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
