# Files
Genome file	Pocillopora_acuta_LBIDv1.assembly.fasta
GFF file	Pocillopora_acuta_LBIDv1.genes.gff3

# Genome stats
Total scaffold length (bp)	352019984
Total contig length (bp)	336684533
Number of scaffolds	168465
Number of contigs	196891
N50 of scaffolds (bp)	147426
N50 of contigs (bp)	9649
Percent gaps	4.356
Percent GC	37.88

# Gene stats (combined CDS+introns)
Number of genes	25737
Total gene length	105613804
Average gene length (bp)	4103.58
Gene percent GC	38.27

# Transcript stats (based on CDS features)
Average transcript length (bp)	1163.04
Average number of CDS per gene/transcript	5.4952

# CDS stats
Number of CDS	141430
Total CDS length (bp)	29933085
Average CDS length (bp)	211.646
Number of single-CDS transcripts	6982
Percent single-CDS transcripts	27.1283
CDS percent GC	43.77

# Intron stats (predicted between CDS features)
Number of introns	115693
Total intron length (bp)	75680719
Average intron length (bp)	654.151
Intron percent GC	36.05

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	21484
Total intergenic region length (bp)	113009036
Average intergenic region length (bp)	5260.15
Intergenic region percent GC	37.44
