# Files
Genome file	Porites_astreoides_BBBMv1.assembly.fasta
GFF file	Porites_astreoides_BBBMv1.genes.gff3

# Genome stats
Total scaffold length (bp)	677753397
Total contig length (bp)	677753397
Number of scaffolds	3051
Number of contigs	3051
N50 of scaffolds (bp)	412256
N50 of contigs (bp)	412256
Percent gaps	0.000
Percent GC	39.12

# Gene stats (combined CDS+introns)
Number of genes	64636
Total gene length	274963491
Average gene length (bp)	4254.03
Gene percent GC	39.06

# Transcript stats (based on CDS features)
Average transcript length (bp)	903.168
Average number of CDS per gene/transcript	4.87962

# CDS stats
Number of CDS	315399
Total CDS length (bp)	58377165
Average CDS length (bp)	185.09
Number of single-CDS transcripts	6336
Percent single-CDS transcripts	9.80259
CDS percent GC	43.83

# Intron stats (predicted between CDS features)
Number of introns	250763
Total intron length (bp)	216586326
Average intron length (bp)	863.709
Intron percent GC	37.77

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	59316
Total intergenic region length (bp)	348621368
Average intergenic region length (bp)	5877.36
Intergenic region percent GC	39.06
