# Files
Genome file	Acropora_florida_SLJPv1.assembly.fasta
GFF file	Acropora_florida_SLJPv1.genes.gff3

# Genome stats
Total scaffold length (bp)	442860187
Total contig length (bp)	402713086
Number of scaffolds	6996
Number of contigs	24556
N50 of scaffolds (bp)	751376
N50 of contigs (bp)	34467
Percent gaps	9.065
Percent GC	38.96

# Gene stats (combined CDS+introns)
Number of genes	23858
Total gene length	183084804
Average gene length (bp)	7673.94
Gene percent GC	39.2

# Transcript stats (based on CDS features)
Average transcript length (bp)	1551.06
Average number of CDS per gene/transcript	7.01442

# CDS stats
Number of CDS	167350
Total CDS length (bp)	37005218
Average CDS length (bp)	221.125
Number of single-CDS transcripts	4459
Percent single-CDS transcripts	18.6897
CDS percent GC	44.18

# Intron stats (predicted between CDS features)
Number of introns	143492
Total intron length (bp)	146079586
Average intron length (bp)	1018.03
Intron percent GC	37.85

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	20378
Total intergenic region length (bp)	197484853
Average intergenic region length (bp)	9691.08
Intergenic region percent GC	38.74
