# Files
Genome file	Porites_compressa_KBHIv1.assembly.fasta
GFF file	Porites_compressa_KBHIv1.genes.gff3

# Genome stats
Total scaffold length (bp)	592501447
Total contig length (bp)	592501447
Number of scaffolds	608
Number of contigs	608
N50 of scaffolds (bp)	4003051
N50 of contigs (bp)	4003051
Percent gaps	0.000
Percent GC	39.21

# Gene stats (combined CDS+introns)
Number of genes	44130
Total gene length	279512961
Average gene length (bp)	6333.85
Gene percent GC	39.56

# Transcript stats (based on CDS features)
Average transcript length (bp)	1303.27
Average number of CDS per gene/transcript	5.51355

# CDS stats
Number of CDS	243313
Total CDS length (bp)	57513174
Average CDS length (bp)	236.375
Number of single-CDS transcripts	12939
Percent single-CDS transcripts	29.3202
CDS percent GC	44.22

# Intron stats (predicted between CDS features)
Number of introns	199183
Total intron length (bp)	221999787
Average intron length (bp)	1114.55
Intron percent GC	38.35

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	42322
Total intergenic region length (bp)	298976962
Average intergenic region length (bp)	7064.34
Intergenic region percent GC	38.87
