# Files
Genome file	Xenia_sp_CTEAv1.assembly.fasta
GFF file	Xenia_sp_CTEAv1.genes.gff3

# Genome stats
Total scaffold length (bp)	222699550
Total contig length (bp)	222505550
Number of scaffolds	168
Number of contigs	556
N50 of scaffolds (bp)	14832246
N50 of contigs (bp)	1122448
Percent gaps	0.087
Percent GC	34.5

# Gene stats (combined CDS+introns)
Number of genes	27158
Total gene length	100323226
Average gene length (bp)	3694.06
Gene percent GC	35.03

# Transcript stats (based on CDS features)
Average transcript length (bp)	1244.64
Average number of CDS per gene/transcript	6.64335

# CDS stats
Number of CDS	180420
Total CDS length (bp)	33802059
Average CDS length (bp)	187.352
Number of single-CDS transcripts	5191
Percent single-CDS transcripts	19.1141
CDS percent GC	39.19

# Intron stats (predicted between CDS features)
Number of introns	153262
Total intron length (bp)	66521167
Average intron length (bp)	434.036
Intron percent GC	32.92

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	26901
Total intergenic region length (bp)	121103116
Average intergenic region length (bp)	4501.81
Intergenic region percent GC	34.08
