# Files
Genome file	Actinia_equina_RHUKv1.assembly.fasta
GFF file	Actinia_equina_RHUKv1.genes.gff3

# Genome stats
Total scaffold length (bp)	409058327
Total contig length (bp)	409058327
Number of scaffolds	1486
Number of contigs	1486
N50 of scaffolds (bp)	492607
N50 of contigs (bp)	492607
Percent gaps	0.000
Percent GC	37.51

# Gene stats (combined CDS+introns)
Number of genes	47671
Total gene length	231615701
Average gene length (bp)	4858.63
Gene percent GC	37.79

# Transcript stats (based on CDS features)
Average transcript length (bp)	1254.41
Average number of CDS per gene/transcript	5.78622

# CDS stats
Number of CDS	275835
Total CDS length (bp)	59799130
Average CDS length (bp)	216.793
Number of single-CDS transcripts	12661
Percent single-CDS transcripts	26.5591
CDS percent GC	42.58

# Intron stats (predicted between CDS features)
Number of introns	228164
Total intron length (bp)	171816571
Average intron length (bp)	753.04
Intron percent GC	36.12

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	44219
Total intergenic region length (bp)	162341641
Average intergenic region length (bp)	3671.31
Intergenic region percent GC	36.87
