# Files
Genome file	Pocillopora_verrucosa_RSSAv1.assembly.fasta
GFF file	Pocillopora_verrucosa_RSSAv1.genes.gff3

# Genome stats
Total scaffold length (bp)	380505698
Total contig length (bp)	379995663
Number of scaffolds	18268
Number of contigs	25712
N50 of scaffolds (bp)	333696
N50 of contigs (bp)	75701
Percent gaps	0.134
Percent GC	38.09

# Gene stats (combined CDS+introns)
Number of genes	27439
Total gene length	188469018
Average gene length (bp)	6868.65
Gene percent GC	38.76

# Transcript stats (based on CDS features)
Average transcript length (bp)	1871.34
Average number of CDS per gene/transcript	7.51635

# CDS stats
Number of CDS	206241
Total CDS length (bp)	51347671
Average CDS length (bp)	248.969
Number of single-CDS transcripts	3592
Percent single-CDS transcripts	13.0909
CDS percent GC	44.76

# Intron stats (predicted between CDS features)
Number of introns	178802
Total intron length (bp)	137121347
Average intron length (bp)	766.889
Intron percent GC	36.51

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	20861
Total intergenic region length (bp)	132615515
Average intergenic region length (bp)	6357.1
Intergenic region percent GC	37.39
