# Files
Genome file	Hormiphora_californensis_MBUSv1.assembly.fasta
GFF file	Hormiphora_californensis_MBUSv1.genes.gff3

# Genome stats
Total scaffold length (bp)	110678691
Total contig length (bp)	110648068
Number of scaffolds	44
Number of contigs	350
N50 of scaffolds (bp)	8537259
N50 of contigs (bp)	595295
Percent gaps	0.028
Percent GC	43.13

# Gene stats (combined exon+introns)
Number of genes	14258
Total gene length	115639118
Average gene length (bp)	8110.47
Gene percent GC	43.29

# Transcript stats (based on exon features)
Average transcript length (bp)	2040.79
Average number of exon per gene/transcript	6.87649

# exon stats
Number of exon	98045
Total exon length (bp)	29097534
Average exon length (bp)	296.777
Number of single-exon transcripts	3494
Percent single-exon transcripts	24.5055
exon percent GC	45.75

# Intron stats (predicted between exon features)
Number of introns	83816
Total intron length (bp)	86600145
Average intron length (bp)	1033.22
Intron percent GC	42.47

# Intergenic stats (predicted between genes built from exon features)
Number of intergenic regions	9256
Total intergenic region length (bp)	23979131
Average intergenic region length (bp)	2590.66
Intergenic region percent GC	42.69
