# Files
Genome file	Mnemiopsis_leidyi_WHUSv2.2.assembly.fasta
GFF file	Mnemiopsis_leidyi_WHUSv2.2.genes.gff3

# Genome stats
Total scaffold length (bp)	155865547
Total contig length (bp)	150338246
Number of scaffolds	5100
Number of contigs	24927
N50 of scaffolds (bp)	187314
N50 of contigs (bp)	11914
Percent gaps	3.546
Percent GC	38.86

# Gene stats (combined CDS+introns)
Number of genes	16548
Total gene length	90168848
Average gene length (bp)	5448.93
Gene percent GC	39.65

# Transcript stats (based on CDS features)
Average transcript length (bp)	1390.23
Average number of CDS per gene/transcript	5.5275

# CDS stats
Number of CDS	91469
Total CDS length (bp)	23005478
Average CDS length (bp)	251.511
Number of single-CDS transcripts	5129
Percent single-CDS transcripts	30.9947
CDS percent GC	45.69

# Intron stats (predicted between CDS features)
Number of introns	74921
Total intron length (bp)	67163370
Average intron length (bp)	896.456
Intron percent GC	37.51

# Intergenic stats (predicted between genes built from CDS features)
Number of intergenic regions	13456
Total intergenic region length (bp)	49428024
Average intergenic region length (bp)	3673.31
Intergenic region percent GC	37.79
